Division,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,when,location,track,championship
4.0,The Rebels Rock and Roll,Too X-treme,17.84,W,27.5,Beky,0.03,4.16,Kelsey,0,4.47,Ellie,0.26,4.25,Nyx,0.31,4.36,2023-10-15 12:30:02,Vodňany,4,cz
4.0,Too X-treme,The Rebels Rock and Roll,18.38,L,15.0,Vilík,0.08,4.92,Aranka,0.67,4.04,Rio,0,4.01,Ruby,0,4.66,2023-10-15 12:30:02,Vodňany,5,cz
4.0,The Rebels Rock and Roll,Too X-treme,17.36,L,27.5,Beky,0.05,4.2,Kelsey,0.17,4.37,Ellie,0,4.24,Nyx,error,4.32,2023-10-15 12:30:58,Vodňany,4,cz
4.0,Too X-treme,The Rebels Rock and Roll,17.28,W,15.0,Vilík,0.13,4.16,Aranka,0,4.1,Rio,0.17,4.02,Ruby,0.12,4.59,2023-10-15 12:30:58,Vodňany,5,cz
4.0,The Rebels Rock and Roll,Too X-treme,17.8,L,27.5,Beky,0.12,4.2,Kelsey,0.16,4.36,Ellie,,ran in,Nyx,0,4.77,2023-10-15 12:32:13,Vodňany,4,cz
4.0,Too X-treme,The Rebels Rock and Roll,18.05,W,15.0,Vilík,0.16,4.22,Aranka,0,4.22,Rio,0.61,4.03,Ruby,0.2,4.62,2023-10-15 12:32:13,Vodňany,5,cz
4.0,AgiFly one,Lavina Omega,17.91,W,27.5,Max,0.04,4.45,Jamie,0,4.74,Lara,0,4.66,Atý,0.15,3.86,2023-10-15 12:37:47,Vodňany,4,cz
4.0,Lavina Omega,AgiFly one,18.86,L,25.0,Geyser,0.06,4.23,Clegan,0.61,4.77,Kačena,0.24,4.21,Agnes,0,4.73,2023-10-15 12:37:47,Vodňany,5,cz
4.0,AgiFly one,Lavina Omega,18.01,W,27.5,Max,0.11,4.54,Jamie,0,4.74,Lara,0,4.64,Atý,0,3.99,2023-10-15 12:38:52,Vodňany,4,cz
4.0,AgiFly one,Lavina Omega,18.04,L,27.5,Max,0.14,4.47,Jamie,error,4.77,Lara,0,4.51,Atý,0.24,3.91,2023-10-15 12:39:58,Vodňany,4,cz
4.0,Lavina Omega,AgiFly one,18.48,W,25.0,Geyser,0.09,4.23,Clegan,0.38,4.62,Kačena,0.23,4.23,Agnes,0.3,4.4,2023-10-15 12:39:58,Vodňany,5,cz
4.0,AgiFly one,Lavina Omega,18.22,L,27.5,Max,0.11,4.52,Jamie,0.2,4.69,Lara,0,4.67,Atý,0.19,3.86,2023-10-15 12:41:01,Vodňany,4,cz
4.0,AgiFly one,Lavina Omega,18.76,W,27.5,Max,0.02,4.55,Jamie,0.17,4.7,Lara,0.43,4.45,Atý,0.58,3.87,2023-10-15 12:42:42,Vodňany,4,cz
4.0,Lavina Omega,AgiFly one,29.06,L,25.0,Geyser,0.06,4.21,Clegan,0.28,4.65,Kačena,0.25,4.27,Agnes,0,4.75,2023-10-15 12:42:42,Vodňany,5,cz
8.0,Fire-Drakes Alien,WildRunners Wonders,28.66,W,27.5,Tami,0.14,4.22,Relí,0.31,4.66,Grace,0.26,5.44,Lizz,0.32,5.69,2023-10-15 13:14:27,Vodňany,4,cz
8.0,WildRunners Wonders,Fire-Drakes Alien,28.75,L,15.0,Rex,0.15,4.9,Hank,0.17,4.43,Hector,0.16,3.96,Gordon,error,6.05,2023-10-15 13:14:27,Vodňany,5,cz
8.0,Fire-Drakes Alien,WildRunners Wonders,20.4,W,27.5,Tami,0.2,4.21,Relí,0.3,4.68,Grace,0,5.89,Lizz,0.91,4.21,2023-10-15 13:16:15,Vodňany,4,cz
8.0,WildRunners Wonders,Fire-Drakes Alien,33.54,L,15.0,Rex,0.17,outside,Hank,,4.5,Hector,error,4.03,Gordon,0,6.26,2023-10-15 13:16:15,Vodňany,5,cz
