Division,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,when,location,track,championship
11.0,Akela Force,Roadrunners Rockets,18.99,L,15.0,Maya,0.02,4.11,Bodza,0.18,4.58,Flash,0.11,4.2,Mukkancs,0,5.79,2023-07-29 12:48:17,Tapioszentmarton,5,efc
11.0,Roadrunners Rockets,Akela Force,19.8,W,15.0,Oswin,0.03,4.25,Waps,0,5.38,Thygo,0.3,4.25,Rusko,0.88,4.71,2023-07-29 12:50:34,Tapioszentmarton,4,efc
11.0,Akela Force,Roadrunners Rockets,18.91,L,20.0,Maya,0.09,outside,Bodza,,4.72,Flash,0.21,4.3,Ében,0,5.31,2023-07-29 12:50:34,Tapioszentmarton,5,efc
11.0,Roadrunners Rockets,Akela Force,19.42,L,15.0,Oswin,0.06,4.27,Waps,0.33,5.5,Thygo,error,4.35,Rusko,0.21,4.71,2023-07-29 12:52:13,Tapioszentmarton,4,efc
11.0,Akela Force,Roadrunners Rockets,20.01,W,15.0,Bandita,0.03,3.84,Bodza,0,4.83,Flash,0.12,4.27,Mukkancs,0.78,6.16,2023-07-29 12:52:13,Tapioszentmarton,5,efc
11.0,Roadrunners Rockets,Akela Force,19.95,L,15.0,Oswin,0.1,4.22,Waps,0,5.72,Thygo,0.17,4.53,Rusko,0.43,4.78,2023-07-29 12:53:36,Tapioszentmarton,4,efc
11.0,Akela Force,Roadrunners Rockets,19.22,W,15.0,Bandita,0.1,3.87,Bodza,0.13,4.79,Flash,0,4.37,Mukkancs,0,5.96,2023-07-29 12:53:36,Tapioszentmarton,5,efc
11.0,Roadrunners Rockets,Akela Force,19.08,W,25.0,Oswin,0.02,4.23,Djazz,0.25,4.7,Thygo,0.18,4.46,Rusko,0,5.25,2023-07-29 12:55:29,Tapioszentmarton,4,efc
11.0,Akela Force,Roadrunners Rockets,19.42,L,15.0,Bandita,0.04,3.87,Bodza,0.18,4.75,Flash,0,4.36,Mukkancs,0.21,6.02,2023-07-29 12:55:29,Tapioszentmarton,5,efc
11.0,BomBallance Flyball Team,Yelly BEAST,19.01,W,22.5,Fleche,0.38,4.32,Simon,0.16,4.89,Koni,0,4.13,Maze,0.18,4.97,2023-07-29 13:00:18,Tapioszentmarton,4,efc
